epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,433.097,1.23005,1.63101,1.28989,0.79151,0.74777,0.80568,0.55509,1.05764,1.33795,1.16782,0.000666421,0.000666421,0.000666421
2,786.833,1.10354,1.13485,1.18765,0.80355,0.78932,0.83339,0.59259,0.99021,1.09745,1.12822,0.00120111,0.00120111,0.00120111
3,1119.64,1.04986,1.00587,1.14539,0.87973,0.773,0.87578,0.64485,0.97031,0.94441,1.12219,0.0016038,0.0016038,0.0016038
4,1438.44,0.99059,0.91682,1.10954,0.86792,0.87749,0.93015,0.74576,0.80233,0.74259,1.01044,0.001406,0.001406,0.001406
5,1751.59,0.91467,0.81612,1.07035,0.81612,0.80564,0.85292,0.65925,0.89121,0.98868,1.10011,0.001208,0.001208,0.001208
6,2079.05,0.85744,0.75963,1.03795,0.93845,0.85608,0.93214,0.75434,0.76506,0.74095,0.99574,0.00101,0.00101,0.00101
7,2425.92,0.81435,0.69424,1.02152,0.92423,0.8506,0.93015,0.75979,0.73351,0.67197,0.99323,0.000812,0.000812,0.000812
8,2753.88,0.75916,0.63583,0.99349,0.85063,0.89565,0.93266,0.76667,0.69984,0.66343,0.96633,0.000614,0.000614,0.000614
9,3098,0.73698,0.59343,0.97835,0.90902,0.84273,0.92542,0.77185,0.67888,0.69212,0.96457,0.000416,0.000416,0.000416
10,3423.86,0.6941,0.5575,0.96482,0.92154,0.88871,0.95421,0.81391,0.64267,0.58365,0.94063,0.000218,0.000218,0.000218
